,0
0,0.9475947
1,0.9125749
2,0.80960727
3,0.9527561
4,0.97114486
5,0.9952411
6,0.89397174
7,0.9850185
8,0.8331094
9,0.5984124
10,0.7791742
11,0.8351462
12,0.9974216
13,0.5955083
14,0.85177124
15,0.9864458
16,0.9946022
17,0.7549142
18,0.90410674
19,0.76383966
20,0.99611145
21,0.9753181
22,0.5906976
23,0.99279433
24,0.61064094
25,0.889461
26,0.87995315
27,0.9851401
28,0.8501126
29,0.9612986
30,0.9498393
31,0.956705
32,0.64159995
33,0.92049044
34,0.99504274
35,0.96449757
36,0.9287977
37,0.965188
38,0.973869
39,0.83681166
40,0.9285033
41,0.81647253
42,0.84332746
43,0.98428696
44,0.848929
45,0.763714
46,0.6100899
47,0.99682957
48,0.69823146
49,0.95366424
50,0.98345137
51,0.6266572
52,0.8608857
53,0.9377629
54,0.59810936
55,0.82841146
56,0.9709271
57,0.99850315
58,0.66836977
59,0.9752129
60,0.98295456
61,0.9162772
62,0.592281
63,0.596549
64,0.8651548
65,0.82454824
66,0.9801826
67,0.87149686
68,0.9518409
69,0.58460385
70,0.76306915
71,0.92092025
72,0.7916013
73,0.9430568
74,0.7071433
75,0.95315856
76,0.99083567
77,0.9469721
78,0.9844484
79,0.95910335
80,0.9500835
81,0.97540146
82,0.89171326
83,0.8658625
84,0.96884197
85,0.9388336
86,0.9396365
87,0.8613686
88,0.98907727
89,0.81238425
90,0.6718684
91,0.96888894
92,0.9867035
93,0.765723
94,0.9170774
95,0.58940864
96,0.99061924
97,0.920059
98,0.9686915
99,0.86840343
100,0.9807291
101,0.99377996
102,0.6386544
103,0.98797625
104,0.7234761
105,0.66940796
106,0.6936893
107,0.9576217
108,0.9938163
109,0.9822626
110,0.98425484
111,0.864668
112,0.98591346
113,0.99020076
114,0.673202
115,0.99463737
116,0.917397
117,0.93626595
118,0.93713707
119,0.9742213
120,0.85384786
121,0.99052274
122,0.8711647
123,0.7922397
124,0.92154735
125,0.9936164
126,0.9266256
127,0.98937154
128,0.96935564
129,0.63770837
130,0.9492619
131,0.62900555
132,0.8522396
133,0.9886904
134,0.99785304
135,0.6289498
136,0.6713108
137,0.8263886
138,0.9811562
139,0.9981472
140,0.99212754
141,0.9421232
142,0.9430841
143,0.73979557
144,0.9879252
145,0.98027784
146,0.5912945
147,0.883111
148,0.6056228
149,0.93382627
150,0.6429834
151,0.88864756
152,0.57615775
153,0.822535
154,0.9936968
155,0.86430764
156,0.6022112
157,0.98672086
158,0.8110902
159,0.65378904
160,0.9934671
161,0.9357173
162,0.96572876
163,0.67034906
164,0.99019253
165,0.6557884
166,0.8847091
167,0.7571184
168,0.9326033
169,0.65585774
170,0.958044
171,0.9829439
172,0.68002737
173,0.9946854
174,0.8778428
175,0.7244254
176,0.9853966
177,0.58964163
178,0.9807949
179,0.879259
180,0.86028534
181,0.6260075
182,0.9321831
183,0.5962868
184,0.9878711
185,0.95489943
186,0.716699
187,0.7047117
188,0.99580425
189,0.8626549
190,0.97928417
191,0.9973079
192,0.95954406
193,0.6915721
194,0.9444006
195,0.67568535
196,0.9010347
197,0.8075027
198,0.8941811
199,0.99750924
200,0.9378288
201,0.68395084
202,0.85950845
203,0.8990783
204,0.6359806
205,0.8600352
206,0.92879224
207,0.98933977
208,0.8021436
209,0.93975466
210,0.61044794
211,0.6958957
212,0.9817682
213,0.9817289
214,0.9751203
215,0.98019207
216,0.95709944
217,0.9905486
218,0.96210873
219,0.91171235
220,0.9888291
221,0.57841116
222,0.85312283
223,0.9379164
224,0.78927916
225,0.8163661
226,0.8822621
227,0.98209065
228,0.84804493
229,0.9167601
230,0.89812225
231,0.9071889
232,0.95969933
233,0.98725915
234,0.9874371
235,0.597176
236,0.79725534
237,0.7653968
238,0.8444166
239,0.6216478
240,0.98713297
241,0.81773734
242,0.77296174
243,0.96893686
244,0.6687955
245,0.8300172
246,0.6635773
247,0.9785977
248,0.92935836
249,0.6729637
250,0.6768799
251,0.8937391
252,0.9902294
253,0.9885644
254,0.9870941
255,0.96578413
256,0.96856415
257,0.8709306
258,0.8896594
259,0.9758938
260,0.8859601
261,0.9284242
262,0.9400464
263,0.5883051
264,0.59468883
265,0.9825318
266,0.99841624
267,0.84535766
268,0.6186688
269,0.9088174
270,0.7085409
271,0.9737655
272,0.9786893
273,0.61034983
274,0.9906865
275,0.9821806
276,0.62019575
277,0.8618786
278,0.97890174
279,0.77064157
280,0.92002064
281,0.966238
282,0.99396956
283,0.7147325
284,0.97594684
285,0.9678749
286,0.84493816
287,0.6028296
288,0.8291582
289,0.9501357
290,0.6413304
291,0.6392775
292,0.9838593
293,0.9898299
294,0.83574134
295,0.9956386
296,0.6001604
297,0.72594184
298,0.8599994
299,0.89636254
300,0.61231685
301,0.9135971
302,0.9599599
303,0.6244091
304,0.57932997
305,0.94584256
306,0.93564695
307,0.9722757
308,0.65618134
309,0.9926988
310,0.9741196
311,0.97130454
312,0.97289944
313,0.8670242
314,0.80879724
315,0.9022847
316,0.6204929
317,0.78999156
318,0.7518209
319,0.97079444
320,0.78787553
321,0.9344202
322,0.7919404
323,0.7761263
324,0.9925846
325,0.87028545
326,0.96903
327,0.9956823
328,0.93727624
329,0.92560637
330,0.98945427
331,0.5881275
332,0.99731314
333,0.97065437
334,0.92450976
335,0.9833305
336,0.86388546
337,0.906041
338,0.98122644
339,0.98875266
340,0.7791247
341,0.94727594
342,0.9996907
343,0.98587257
344,0.9820329
345,0.9342837
346,0.8860786
347,0.7386036
348,0.71042436
349,0.80538565
350,0.9910526
351,0.9943965
352,0.9624922
353,0.9806822
354,0.67350894
355,0.82448167
356,0.98565793
357,0.98393905
358,0.92785496
359,0.95792377
360,0.89626014
361,0.9650652
362,0.63531727
363,0.9713908
364,0.98755825
365,0.981561
366,0.73469776
367,0.87343174
368,0.5878748
369,0.7851884
370,0.95712465
371,0.6470345
372,0.9757024
373,0.7975192
374,0.9919731
375,0.7570645
376,0.98563796
377,0.98737127
378,0.91224736
379,0.9509588
380,0.6690366
381,0.9452749
382,0.5853578
383,0.80918986
384,0.8949847
385,0.916118
386,0.99235255
387,0.67271775
388,0.59816736
389,0.93882895
390,0.61662364
391,0.5853462
392,0.9924748
393,0.98805034
394,0.9859308
395,0.9900059
396,0.8067055
397,0.98203427
398,0.98019904
399,0.94838744
400,0.926855
401,0.7873467
402,0.97651523
403,0.98315805
404,0.9936927
405,0.9856585
406,0.7660169
407,0.69871676
408,0.62609816
409,0.9832537
410,0.9401316
411,0.9432377
412,0.962465
413,0.99836195
414,0.97536933
415,0.7229706
416,0.67644906
417,0.86853343
418,0.7687869
419,0.989429
420,0.9488218
421,0.67793024
422,0.93769735
423,0.9977448
424,0.79761076
425,0.98157614
426,0.9869746
427,0.99508566
428,0.8736804
429,0.96814394
430,0.8950413
431,0.89384294
432,0.8868475
433,0.918306
434,0.9658618
435,0.9608965
436,0.95655847
437,0.7397396
438,0.80231
439,0.6820375
440,0.8457109
441,0.97959137
442,0.84760904
443,0.97148645
444,0.6978592
445,0.9219346
446,0.7249117
447,0.9774305
448,0.7451203
449,0.99893075
450,0.6486517
451,0.89769435
452,0.87420774
453,0.58986384
454,0.6532111
455,0.79767954
456,0.63114166
457,0.97774065
458,0.6706487
459,0.9036343
460,0.86965823
461,0.6119726
462,0.95985913
463,0.943922
464,0.821944
465,0.7439641
466,0.9624663
467,0.99240255
468,0.675894
469,0.88955367
470,0.9529543
471,0.9953039
472,0.98313653
473,0.8380982
474,0.8453911
475,0.98749167
476,0.98807716
477,0.8066976
478,0.9820716
479,0.97321826
480,0.861801
481,0.662673
482,0.9683503
483,0.9143132
484,0.94446605
485,0.84747344
486,0.8785754
487,0.7560514
488,0.7010903
489,0.94378847
490,0.86760676
491,0.88249695
492,0.7534612
493,0.7426447
494,0.6044262
495,0.64455354
496,0.9865306
497,0.9867653
498,0.9846944
499,0.785155
500,0.9351057
501,0.77068985
502,0.87529147
503,0.9079845
504,0.935587
505,0.7340502
506,0.91035146
507,0.97288126
508,0.97920513
509,0.61115265
510,0.9851863
511,0.85304534
512,0.58703
513,0.9890952
514,0.6860343
515,0.8131574
516,0.5963588
517,0.9899028
518,0.99453044
519,0.9149594
520,0.89573735
521,0.9363329
522,0.7280681
523,0.85279006
524,0.99365443
525,0.8975717
526,0.92878395
527,0.82835186
528,0.99187845
529,0.6739188
530,0.64377004
531,0.9912552
532,0.6618161
533,0.94043154
534,0.91730946
535,0.99275196
536,0.9927768
537,0.69674534
538,0.9846602
539,0.65925705
540,0.83817583
541,0.616322
542,0.86405706
543,0.8833446
544,0.91516113
545,0.8450772
546,0.8089188
547,0.6918484
548,0.97876674
549,0.5865624
550,0.9925134
551,0.7604429
552,0.9669252
553,0.96294385
554,0.6954023
555,0.8706453
556,0.7171384
557,0.9959086
558,0.6912302
559,0.9919023
560,0.58337045
561,0.8794255
562,0.78601325
563,0.7163754
564,0.8593085
565,0.9978638
566,0.96394473
567,0.9431302
568,0.9790389
569,0.96866256
570,0.5967608
571,0.6452211
572,0.59158295
573,0.9292119
574,0.9149882
575,0.8234762
576,0.8031859
577,0.919986
578,0.61696875
579,0.6155351
580,0.9606575
581,0.9831289
582,0.88418835
583,0.84509337
584,0.99585104
585,0.73616505
586,0.90977407
587,0.9477341
588,0.9947066
589,0.68347925
590,0.95520455
591,0.8231168
592,0.6641568
593,0.834619
594,0.89207554
595,0.80470926
596,0.992425
597,0.9487579
598,0.75197333
599,0.9570114
600,0.6053506
601,0.88954264
602,0.7504202
603,0.99372065
604,0.63658255
605,0.5923412
606,0.6359402
607,0.9028579
608,0.72216254
609,0.70919734
610,0.92085046
611,0.7901623
612,0.9959026
613,0.8922435
614,0.9881132
615,0.69680876
616,0.6522178
617,0.71186453
618,0.9972767
619,0.9724064
620,0.6545118
621,0.90124965
622,0.83338135
623,0.9073488
624,0.85385996
625,0.9906668
626,0.8854663
627,0.8522514
628,0.983759
629,0.70897454
630,0.9977878
631,0.99986106
632,0.9160624
633,0.9568416
634,0.63432974
635,0.9855834
636,0.8353787
637,0.9890535
638,0.8351846
639,0.58887947
640,0.71946895
641,0.8415045
642,0.7286727
643,0.99174684
644,0.97626734
645,0.75002795
646,0.7595147
647,0.7652366
648,0.5945071
649,0.8270916
650,0.8291435
651,0.61835253
652,0.99008274
653,0.8988234
654,0.9193569
655,0.82819396
656,0.9565645
657,0.9193056
658,0.9723403
659,0.99940807
660,0.91266704
661,0.62330735
662,0.9656457
663,0.6492112
664,0.9812347
665,0.6172206
666,0.99419564
667,0.9932639
668,0.84761965
669,0.7120322
670,0.84016067
671,0.82399565
672,0.7016723
673,0.9928023
674,0.9171247
675,0.9993868
676,0.9623425
677,0.9884137
678,0.7133018
679,0.8330019
680,0.9893149
681,0.89962566
682,0.6015875
683,0.92761344
684,0.8309046
685,0.97940135
686,0.88133395
687,0.9796496
688,0.9839906
689,0.98812824
690,0.9827871
691,0.9898337
692,0.99466217
693,0.78649694
694,0.7563546
695,0.8505047
696,0.6214572
697,0.95937616
698,0.8003793
699,0.9565711
700,0.9486139
701,0.8455693
702,0.8846701
703,0.9626969
704,0.85526717
705,0.74405384
706,0.8995046
707,0.9960561
708,0.69887084
709,0.6149678
710,0.9471671
711,0.9926241
712,0.62538046
713,0.8835083
714,0.7561928
715,0.98583305
716,0.80242157
717,0.99545985
718,0.6658204
719,0.81821495
720,0.98827815
721,0.99575627
722,0.71370643
723,0.8062662
724,0.8846814
725,0.9780997
726,0.6852379
727,0.9859318
728,0.5996515
729,0.9961366
730,0.9831615
731,0.90430474
732,0.98629713
733,0.96047896
734,0.57301086
735,0.98045754
736,0.9680856
737,0.76752764
738,0.9472145
739,0.75825006
740,0.9076954
741,0.7228377
742,0.9971075
743,0.89655197
744,0.9091059
745,0.9665967
746,0.6833372
747,0.59080714
748,0.60438424
749,0.9930636
750,0.9937583
751,0.97659093
752,0.73354334
753,0.58728766
754,0.9902531
755,0.6042659
756,0.9501684
757,0.5848874
758,0.9775451
759,0.75233555
760,0.66793406
761,0.9699609
762,0.9859803
763,0.99458104
764,0.97848153
765,0.6131643
766,0.88233626
767,0.69779223
768,0.7690484
769,0.95540637
770,0.6885639
771,0.9473099
772,0.97434354
773,0.60015106
774,0.99911106
775,0.58965486
776,0.67391396
777,0.9969728
778,0.9925497
779,0.92360115
780,0.75396174
781,0.9661097
782,0.7580287
783,0.92174155
784,0.88197136
785,0.6681176
786,0.90956223
787,0.967786
788,0.9612962
789,0.64933026
790,0.9920412
791,0.86515266
792,0.949984
793,0.9855011
794,0.9105044
795,0.9296135
796,0.9666352
797,0.96661866
798,0.8749365
799,0.98739576
800,0.98139423
801,0.95409024
802,0.9394937
803,0.9075723
804,0.9745784
805,0.98476774
806,0.8200335
807,0.99216956
808,0.8978836
809,0.64316344
810,0.9906435
811,0.79626006
812,0.82131577
813,0.7044407
814,0.98813725
815,0.9341961
816,0.97406137
817,0.97801566
818,0.9910472
819,0.95051324
820,0.99213004
821,0.9875772
822,0.97676975
823,0.9016288
824,0.6277835
825,0.9887685
826,0.99805945
827,0.8834136
828,0.96759415
829,0.7276224
830,0.9943175
831,0.96583563
832,0.7151327
833,0.7114363
834,0.9459608
835,0.89322644
836,0.99418885
837,0.9265731
838,0.9532333
839,0.6711056
840,0.9846986
841,0.9946406
842,0.99257606
843,0.9214854
844,0.69196606
845,0.99795306
846,0.7674808
847,0.9888274
848,0.85839623
849,0.8752066
850,0.93628573
851,0.60442126
852,0.8667697
853,0.98894197
854,0.87562
855,0.7082994
856,0.60010755
857,0.98093325
858,0.9545544
859,0.78533065
860,0.58156854
861,0.96093893
862,0.9686189
863,0.96416545
864,0.84511906
865,0.59009206
866,0.9962086
867,0.9184547
868,0.95791173
869,0.96288645
870,0.61590314
871,0.6232615
872,0.99698216
873,0.8465864
874,0.9808219
875,0.9682608
876,0.99198025
877,0.98284
878,0.8352237
