SVD_Rank_Index,ViT,Oracle Context,Oracle Spatial,Segformer
94,-4.528420081120186,-4.036937366994872,-4.023996384016299,-8.36795236811892
95,-4.537233977337889,-4.047729828797316,-4.048568541655966,-8.37766608405648
96,-4.560810043243514,-4.070588228687983,-4.068112421100769,-8.383837126957618
97,-4.56693734545302,-4.085144811121088,-4.090332161930985,-8.385545347564046
98,-4.584537557459903,-4.117465853175031,-4.1019367346554345,-8.39345844308283
99,-4.594048999376334,-4.136480362777934,-4.1223607353521565,-8.410798031946493
100,-4.608398190607527,-4.153106084921145,-4.1524752929072,-8.41500295354101
101,-4.615523669871282,-4.1807655492273135,-4.186031405507618,-8.419823118326736
102,-4.6371007403287665,-4.206230163112657,-4.20493510272528,-8.423857553835825
103,-4.640276169961034,-4.213887389179483,-4.211105518982093,-8.431867563583372
104,-4.65170839894043,-4.220512948704199,-4.22450698407459,-8.442702342045399
105,-4.6572907146598075,-4.241555400396645,-4.261791553412299,-8.447448015580067
106,-4.669187159998022,-4.2520187730814945,-4.26978083497752,-8.456173860586812
107,-4.678059785041834,-4.3077795890819806,-4.281805396437398,-8.464947374119575
108,-4.687443451974011,-4.313419311498082,-4.2956169664660235,-8.47256306687495
109,-4.698160098519771,-4.323383272712196,-4.319539461054458,-8.483086579413783
110,-4.70095099588633,-4.345782641131793,-4.3471855492846,-8.48575912525967
111,-4.715294948224962,-4.364454845679378,-4.352152924265622,-8.493902370664145
112,-4.731803656575813,-4.373004761963374,-4.3704415840640465,-8.505316722186725
113,-4.73623321990181,-4.3801918863680545,-4.388970747718168,-8.509435851531634
114,-4.752223899139047,-4.399091765869193,-4.3982752575318464,-8.514640829878678
115,-4.7606174222827615,-4.432747035880549,-4.419130829740456,-8.529212460349873
116,-4.782062281306337,-4.437150194085376,-4.421946480453741,-8.535053540614374
117,-4.788765707862453,-4.452386739362902,-4.439143551530731,-8.540690058051187
118,-4.794893503050921,-4.459620506732314,-4.4731760583767475,-8.54934485197378
119,-4.799254431299824,-4.491204910314588,-4.485017497602405,-8.552856821814078
120,-4.809094868883043,-4.496691741717545,-4.495760142679095,-8.559981358354591
121,-4.819084559899844,-4.503676486182942,-4.507107075083276,-8.57017656892145
122,-4.834946291939161,-4.515070231259162,-4.531006307402894,-8.581825770922897
123,-4.84300979911093,-4.539207294432962,-4.541852946256748,-8.584637113582536
124,-4.849256398661823,-4.551886841111854,-4.552095367033634,-8.59308103908277
125,-4.865937772028411,-4.559173432289556,-4.56771390167542,-8.602871897217389
126,-4.878277192972076,-4.590809503113063,-4.577274495920709,-8.608572257480766
127,-4.891903432020256,-4.601003767683093,-4.610096003577821,-8.611339300328915
128,-4.894444883458636,-4.6327804619891735,-4.631656698483024,-8.618552154674688
129,-4.90623873167598,-4.665598643145766,-4.640358808055648,-8.628444941393845
130,-4.914219213524474,-4.668776477767737,-4.655749646822947,-8.638537420899619
131,-4.924301512731691,-4.675747079129193,-4.6630751166166124,-8.640208635691438
132,-4.93364462246579,-4.692443769249504,-4.67398722342169,-8.655271357652685
133,-4.940315696589276,-4.710642703968924,-4.696788008977709,-8.668495196967482
134,-4.945357587674044,-4.726663352554615,-4.736661742915448,-8.670785250590907
135,-4.956321277580978,-4.734817390419931,-4.742808814473305,-8.684101881914852
136,-4.959116010241003,-4.743424304030134,-4.7472905859981696,-8.686062173261767
137,-4.97198440406408,-4.7584699113257,-4.764374726687477,-8.691234884989571
138,-4.974970902281885,-4.768199339178436,-4.775826150681111,-8.695585504206841
139,-4.986678579914308,-4.794718232245946,-4.782416410095235,-8.70433207282327
140,-5.007583606748938,-4.8103896557100985,-4.812430847281237,-8.716766096430213
141,-5.009741985722192,-4.830441158748519,-4.827748268305827,-8.721511506144505
142,-5.0156179610529605,-4.847285394254476,-4.835923979680117,-8.727065392532193
143,-5.025052557043764,-4.865114884364945,-4.848203766938234,-8.740876620758968
144,-5.032527911929362,-4.8749777019960945,-4.858867659772201,-8.749279795532143
145,-5.046776975040034,-4.884231261942576,-4.876129687103924,-8.75839655047627
146,-5.053662381195046,-4.897913064383444,-4.8996855996709545,-8.765973881797441
147,-5.0566681148711154,-4.920971655823023,-4.915262972555217,-8.768018356034576
148,-5.06581130350016,-4.927885590321713,-4.924117156621257,-8.77844272699195
149,-5.081880668057733,-4.935663848621536,-4.932943652139072,-8.791698152597633
150,-5.085007603642745,-4.943127404577439,-4.939438685402851,-8.792432578741021
151,-5.098959260658058,-4.966234276552204,-4.958096417458252,-8.80072133522248
152,-5.106735904002628,-4.972906815656956,-4.964216667096649,-8.810204872970383
153,-5.1136572242331475,-4.987506038423175,-4.966907045752125,-8.816535357498104
154,-5.126187597104154,-5.004786414567007,-4.979602306954275,-8.82129281243169
155,-5.129125632922433,-5.012556168202215,-4.998931071851219,-8.83281816423364
156,-5.133291756174028,-5.032876148225838,-5.032342074227118,-8.84377198222179
157,-5.142076810425041,-5.043679054605025,-5.0468844435718285,-8.854860473937173
158,-5.152884737573236,-5.0525179437399,-5.063592366289841,-8.861871949016209
159,-5.164636356921015,-5.061404837690574,-5.067137743875589,-8.872101115374564
160,-5.175567505101422,-5.088144030857766,-5.081368612069268,-8.880456286137095
161,-5.1894035245217545,-5.097142070692419,-5.093501849604705,-8.887515378583277
162,-5.193073950611158,-5.101562050267238,-5.112505460835046,-8.90008411900796
163,-5.195685172259367,-5.118737361104383,-5.129250060602954,-8.903766710219875
164,-5.204353783431374,-5.126652526209923,-5.140125918887184,-8.909623917201785
165,-5.214478252362581,-5.149182625822914,-5.145968073593955,-8.91644372415239
166,-5.2247437125555924,-5.155356435661633,-5.155454848699945,-8.928832002801306
167,-5.233367004600658,-5.1806109756415335,-5.168876945521686,-8.933984192109692
168,-5.246168183245543,-5.186761383368128,-5.183676391968295,-8.943846411803708
169,-5.253875506755435,-5.198160984780421,-5.192653095169889,-8.950985634353064
170,-5.259623956599534,-5.209355487041601,-5.2150973382716455,-8.967189210385898
171,-5.271172022836558,-5.224470563086956,-5.220490326684998,-8.980423325402507
172,-5.275675657973175,-5.235859152304482,-5.223032105453115,-8.98688697249306
173,-5.281861897005744,-5.258105082054706,-5.246522129006792,-9.001686441995274
174,-5.294763703167578,-5.26140306806081,-5.25088824479917,-9.006935445318446
175,-5.301187135527033,-5.263700089699171,-5.275754612462507,-9.017858627571615
176,-5.305304956373499,-5.270716562758559,-5.280952187411412,-9.025332674552153
177,-5.308625319259168,-5.2989459916233095,-5.287472553605451,-9.029639678071353
178,-5.316177338913144,-5.3172965636700305,-5.311009808830399,-9.04235581731772
179,-5.316756221534033,-5.326831854335517,-5.3224896030504745,-9.055759276029116
180,-5.330691381283476,-5.336449331847366,-5.334775247019011,-9.068405529508823
181,-5.336628475500496,-5.356898580555873,-5.351962935608616,-9.075735037386156
182,-5.34606006921223,-5.374451940737124,-5.3640527583908675,-9.091026409807016
183,-5.35388619415356,-5.3795682199190145,-5.382497421803491,-9.097623432775942
184,-5.355550743740259,-5.3972809911694775,-5.39420225052885,-9.10930602492293
185,-5.363690409754603,-5.416180526138872,-5.414910816282066,-9.113594087546973
186,-5.370948359769312,-5.425973165710871,-5.426206471047907,-9.129432073973618
187,-5.377257204528864,-5.445168935859672,-5.4337259176542405,-9.139075793891443
188,-5.385474262777956,-5.451018093744957,-5.447196058134609,-9.146293671124033
189,-5.3941209209445855,-5.462700688780543,-5.459659034923782,-9.159843408323065
190,-5.404592176151874,-5.479619095797524,-5.467199284308783,-9.165353125194994
191,-5.411408716201514,-5.486039791411355,-5.471563165216835,-9.169565427608013
192,-5.414624479568789,-5.492799188661525,-5.5009249094217925,-9.185637941558674
193,-5.422373913044221,-5.506465638961797,-5.520957891062329,-9.203413546155824
194,-5.4360149533891455,-5.520496241932105,-5.524374537324086,-9.222273376262564
195,-5.438470031131748,-5.52780392731953,-5.5510387890726856,-9.230374212982671
196,-5.4467426244743695,-5.56108894143027,-5.556478672073222,-9.234936121441795
197,-5.455928464367712,-5.563506683145881,-5.56096988654598,-9.241945805154442
198,-5.4599217070075925,-5.575006328099825,-5.579479329161439,-9.258318322356281
199,-5.4686059538010925,-5.598664154411664,-5.59513334105014,-9.286878510864785
200,-5.4723105439800515,-5.603882200591265,-5.612814732061096,-9.290862305518646
201,-5.47539076620151,-5.628433594328584,-5.614030478284469,-9.311859524624484
202,-5.485248077000399,-5.634029309071162,-5.631274332424452,-9.325127184813722
203,-5.5027291952422415,-5.640741645886687,-5.641754083279812,-9.339584196717082
204,-5.50485897708621,-5.663183914623651,-5.667607756089974,-9.358569081507211
205,-5.513671158385371,-5.669947659001334,-5.673700972657776,-9.381215345475283
206,-5.518705634477032,-5.6742004492240925,-5.694722031632688,-9.413034271446296
207,-5.525797573524935,-5.695122277305464,-5.698668405178772,-9.431139303449118
208,-5.530203143295727,-5.705924265005635,-5.710734274101315,-9.440572801824034
209,-5.53169804119865,-5.713235086852854,-5.736301774636756,-9.455912749781387
210,-5.54415364341875,-5.740848188293494,-5.7471526574351826,-9.479938202871544
211,-5.550594876079469,-5.746167444458323,-5.759711248874261,-9.481569928783864
212,-5.553647263475229,-5.762398396321076,-5.767218799645185,-9.503053736050754
213,-5.5638577617834235,-5.776352428803215,-5.780519955685326,-9.511032189659646
214,-5.566025271370169,-5.795996453478473,-5.78943094126491,-9.542760169668439
215,-5.57324709672741,-5.816031741949911,-5.807853597898846,-9.552548239999764
216,-5.579449106899379,-5.828311372504046,-5.820301293311339,-9.568592705425166
217,-5.585620384190696,-5.831504512576164,-5.825147229516155,-9.591876743371195
218,-5.590803025130435,-5.84782632307817,-5.845187368206902,-9.612188977480393
219,-5.594457537181594,-5.8660143458135385,-5.861042363625479,-9.65859334233773
220,-5.6024804322983845,-5.872381460124951,-5.876945861515387,-9.666408049986725
221,-5.6098842145849055,-5.880629112134087,-5.8957053650587365,-9.684747543425473
222,-5.6173737074994206,-5.891007755575578,-5.913103231420092,-9.690750977316638
223,-5.6248219818172345,-5.915364389425321,-5.930933335296746,-9.717315781719982
224,-5.6323572598049685,-5.931216640583505,-5.944028871335096,-9.736101884396042
225,-5.633169886329931,-5.945327389313418,-5.958692721813425,-9.752542901714207
226,-5.6391615823463175,-5.967352123887048,-5.9743461898657815,-9.7726349128238
227,-5.649904426420157,-5.999070476299731,-5.992075746310698,-9.813512278735196
228,-5.655560691650246,-6.014671931962034,-6.001695403816354,-9.8216428111737
229,-5.66382329507534,-6.016883988792916,-6.014032422236525,-9.844688117057544
230,-5.668404976864368,-6.030830483157933,-6.029830239607201,-9.876808436271421
231,-5.670907553797736,-6.058437172890781,-6.04856669195339,-9.89568127588374
232,-5.682809567312766,-6.063535261563456,-6.05826452939566,-9.92268182006001
233,-5.685542255247883,-6.091669549978077,-6.068979679850002,-9.936778072476713
234,-5.688065405179175,-6.098591324048918,-6.077195100425502,-9.971125073027306
235,-5.696037386507932,-6.107204648357655,-6.122098270096616,-9.997645325076212
236,-5.703868888716796,-6.123828679636287,-6.1319923622810535,-10.031465180517
237,-5.710039500481501,-6.152465985141978,-6.14086778060438,-10.0584324060326
238,-5.714685107824916,-6.159197280071753,-6.157393611825618,-10.097087969311168
239,-5.7222983435541686,-6.175203172749189,-6.171354897709669,-10.13122264995599
240,-5.734321580503697,-6.213464813561105,-6.206967203340533,-10.181379108065775
241,-5.73784514234792,-6.223834745508855,-6.2252118215621595,-10.191097556824207
242,-5.741494646589305,-6.242338773839054,-6.232682682334894,-10.213698114898218
243,-5.7468050709073895,-6.254806820285866,-6.242782573032683,-10.255892984572268
244,-5.752456902243471,-6.290262816963828,-6.265349840582341,-10.277182447300168
245,-5.76100485576691,-6.300880548414818,-6.290371617887924,-10.310142306861911
246,-5.768477922868708,-6.312609395075099,-6.306957136480178,-10.350394582768159
247,-5.7723028770777365,-6.327352413374073,-6.323881323400668,-10.385649610105688
248,-5.778994193797038,-6.337117073458889,-6.338804600548158,-10.429827871164306
249,-5.785249427556195,-6.352232553528778,-6.352450630414017,-10.443688244638812
250,-5.789754976141106,-6.382796032312801,-6.382424461918979,-10.493169174457098
251,-5.799416756093012,-6.4022971543969724,-6.401096334014219,-10.568157612155943
252,-5.802336890251643,-6.4360741633035605,-6.444392287724333,-10.572058478966348
253,-5.8055805463581605,-6.439681875497325,-6.453535470396125,-10.640947883843268
254,-5.812797601805345,-6.483207125673576,-6.493598934971867,-10.659276806170137
255,-5.816153881537917,-6.517779115489315,-6.507789381774191,-10.812320747938859
256,-5.8205328160336745,-6.530045149380759,-6.527098583961774,
257,-5.82770072460158,-6.545046660197751,-6.540460765785755,
258,-5.832225788865832,-6.560057560404496,-6.564639832731704,
259,-5.836073964424507,-6.591887614624783,-6.591894178593196,
260,-5.840403130807706,-6.608306809894862,-6.610541265721249,
261,-5.845959694592931,-6.62368754452492,-6.632317955365227,
262,-5.847989252904996,-6.662989654869012,-6.682726396251307,
263,-5.861987545296325,-6.697929634658682,-6.693300513760459,
264,-5.866490721436591,-6.700775314685135,-6.714227770531525,
265,-5.872175114241168,-6.733665928930941,-6.736978368835631,
266,-5.876138101858793,-6.763975358544876,-6.755200376486291,
267,-5.883059870997416,-6.782249478319181,-6.802949853792774,
268,-5.887751326171497,-6.835389690110076,-6.843680923308253,
269,-5.895742243469417,-6.844835807859934,-6.885612744445672,
270,-5.9022295674303855,-6.927881313889988,-6.903913817920691,
271,-5.906298099240526,-6.937789591089561,-6.9343133349593025,
272,-5.9142258632312865,-6.962901339901371,-6.953627037761099,
273,-5.917483282403566,-6.976553285621498,-7.003451159420904,
274,-5.920349107025269,-7.024361777671955,-7.0195274430482755,
275,-5.9293868596887895,-7.0580786376246865,-7.061045761011417,
276,-5.932413085093129,-7.105084199588376,-7.083055317343056,
277,-5.938385524343162,-7.139141838623634,-7.116619998967626,
278,-5.9448444698159735,-7.178966249948222,-7.164031884030769,
279,-5.947224982503187,-7.242144165397506,-7.218713054256174,
280,-5.948985570082596,-7.254757892442468,-7.241969994733205,
281,-5.95825693287417,-7.296553288991977,-7.251038258525792,
282,-5.961879492026362,-7.338996769294343,-7.325048016645479,
283,-5.966372827621792,-7.4367693341924515,-7.421294024828642,
284,-5.97443378490518,-7.471514199774861,-7.45237900296239,
285,-5.97821429318599,-7.502416176086185,-7.518337605633827,
286,-5.987473374875661,-7.599824468902991,-7.615178942029853,
287,-5.992902562527079,-7.626904824465433,-7.635257021243469,
288,-5.999978620934321,-7.7444103629337375,-7.749340043534077,
289,-6.00557481822837,,,
290,-6.0129584855519616,,,
291,-6.016364472410808,,,
292,-6.020686323212729,,,
293,-6.029608170686869,,,
294,-6.0354921045064485,,,
295,-6.039684845901551,,,
296,-6.049095852930397,,,
297,-6.055455801032421,,,
298,-6.058442615046451,,,
299,-6.059913352098426,,,
300,-6.067821392522761,,,
301,-6.072175604204243,,,
302,-6.075412993217797,,,
303,-6.078359299560263,,,
304,-6.081122178160729,,,
305,-6.0849817227104905,,,
306,-6.092866120140038,,,
307,-6.100036165217003,,,
308,-6.102796220396113,,,
309,-6.111222721473564,,,
310,-6.116607525258234,,,
311,-6.120937003698429,,,
312,-6.125118234662595,,,
313,-6.133135378161397,,,
314,-6.134765949377094,,,
315,-6.138724825518433,,,
316,-6.147591159833014,,,
317,-6.15070202011221,,,
318,-6.15789469730113,,,
319,-6.15991613676355,,,
320,-6.161434075108636,,,
321,-6.165660663225694,,,
322,-6.17178205636083,,,
323,-6.177663794155346,,,
324,-6.181745215651609,,,
325,-6.182952291875625,,,
326,-6.194693986102145,,,
327,-6.199078815624705,,,
328,-6.204839150677497,,,
329,-6.206924702189718,,,
330,-6.21609792187457,,,
331,-6.219255632154642,,,
332,-6.22459945830561,,,
333,-6.228791100958268,,,
334,-6.234221263794165,,,
335,-6.23645828681881,,,
336,-6.245306194012962,,,
337,-6.2494015249834645,,,
338,-6.254246093781841,,,
339,-6.2614615511148575,,,
340,-6.265278326216563,,,
341,-6.272574275898443,,,
342,-6.276238764624296,,,
343,-6.278421324504275,,,
344,-6.284040140154504,,,
345,-6.2856256120943845,,,
346,-6.290032276193086,,,
347,-6.2995451813156915,,,
348,-6.3049097666901845,,,
349,-6.308496201977754,,,
350,-6.315209132196829,,,
351,-6.31895225886066,,,
352,-6.322982231342114,,,
353,-6.326944543702807,,,
354,-6.333705923300643,,,
355,-6.339704513250595,,,
356,-6.345701924000072,,,
357,-6.350975008033399,,,
358,-6.357632179666742,,,
359,-6.362366968649489,,,
360,-6.367593756757955,,,
361,-6.372848526405202,,,
362,-6.37444383444605,,,
363,-6.38338303555025,,,
364,-6.384287681440378,,,
365,-6.388244258410767,,,
366,-6.394442265295259,,,
367,-6.402793578184841,,,
368,-6.4069302291659,,,
369,-6.410601684248953,,,
370,-6.412928603074516,,,
371,-6.4185998660187575,,,
372,-6.421098020173883,,,
373,-6.422375416817625,,,
374,-6.428722290981582,,,
375,-6.432986446130112,,,
376,-6.433528819568618,,,
377,-6.438837468304511,,,
378,-6.445898703125528,,,
379,-6.452747938236161,,,
380,-6.455540087023706,,,
381,-6.461518965230365,,,
382,-6.465269454024843,,,
383,-6.466687054973383,,,
384,-6.4721301736428165,,,
385,-6.483770810610803,,,
386,-6.485590670163688,,,
387,-6.488365116997482,,,
388,-6.496124964457897,,,
389,-6.500635342622468,,,
390,-6.5022639672555576,,,
391,-6.503617848909538,,,
392,-6.510059343832749,,,
393,-6.518798586872291,,,
394,-6.519695971058226,,,
395,-6.523787647852149,,,
396,-6.527487807970396,,,
397,-6.5295533053885055,,,
398,-6.539891002412814,,,
399,-6.54231508416675,,,
400,-6.548076666060734,,,
401,-6.5504351330783095,,,
402,-6.553145145281144,,,
403,-6.557922434491465,,,
404,-6.568824703079129,,,
405,-6.571627485067997,,,
406,-6.575425706242002,,,
407,-6.5771984736305145,,,
408,-6.5797890863471915,,,
409,-6.586563766989676,,,
410,-6.594897727424807,,,
411,-6.597980602247055,,,
412,-6.599887571338337,,,
413,-6.605570238627894,,,
414,-6.608032472073832,,,
415,-6.611366154779221,,,
416,-6.61441984705702,,,
417,-6.618770382833748,,,
418,-6.627806209665167,,,
419,-6.6306147874528145,,,
420,-6.633164286651513,,,
421,-6.638330335160606,,,
422,-6.643110184998229,,,
423,-6.64513733207237,,,
424,-6.6479412434596155,,,
425,-6.6527221159000876,,,
426,-6.656215483423338,,,
427,-6.657309431664251,,,
428,-6.663592989771141,,,
429,-6.6647748780804275,,,
430,-6.668570343241118,,,
431,-6.673403373125656,,,
432,-6.682575748004548,,,
433,-6.6848902696454555,,,
434,-6.689403416391643,,,
435,-6.691459631263292,,,
436,-6.695939514568285,,,
437,-6.703314973632478,,,
438,-6.705697863785849,,,
439,-6.709335907742767,,,
440,-6.711907967134754,,,
441,-6.716521227522808,,,
442,-6.721346034677247,,,
443,-6.725000018450591,,,
444,-6.730398857996739,,,
445,-6.736511487691896,,,
446,-6.741379994147871,,,
447,-6.743391919330332,,,
448,-6.745035613342668,,,
449,-6.750530636094827,,,
450,-6.757622559599225,,,
451,-6.758998267266847,,,
452,-6.765702764418319,,,
453,-6.7699841823284865,,,
454,-6.773126659633859,,,
455,-6.781633008386159,,,
456,-6.789359696724832,,,
457,-6.792053051134472,,,
458,-6.799061742738616,,,
459,-6.801563406607168,,,
460,-6.806888411697596,,,
461,-6.807843625846561,,,
462,-6.812375608111337,,,
463,-6.817192862808539,,,
464,-6.819190663163746,,,
465,-6.8236173664102155,,,
466,-6.829676253921502,,,
467,-6.831532045021075,,,
468,-6.835066307789623,,,
469,-6.837378081187299,,,
470,-6.847951687959265,,,
471,-6.8497664403721386,,,
472,-6.852426065687768,,,
473,-6.857691865292537,,,
474,-6.861174740066142,,,
475,-6.8673956254280535,,,
476,-6.868883962763315,,,
477,-6.87376909541118,,,
478,-6.8773389817723665,,,
479,-6.8848299129826165,,,
480,-6.886897513764416,,,
481,-6.890140522217507,,,
482,-6.895398772356472,,,
483,-6.899576998686489,,,
484,-6.90167722149196,,,
485,-6.90988515113917,,,
486,-6.911418071516513,,,
487,-6.9188706364198245,,,
488,-6.921360683181323,,,
489,-6.923918721467858,,,
490,-6.930709696087044,,,
491,-6.9351773259994465,,,
492,-6.938437468231712,,,
493,-6.940817100004121,,,
494,-6.950370679454965,,,
495,-6.951002611258307,,,
496,-6.956797721918599,,,
497,-6.960158805717774,,,
