,0
0,0.19422679
1,0.31866875
2,0.6267227
3,0.13045947
4,0.14747299
5,0.06431095
6,0.37957886
7,0.13971084
8,0.45567852
9,0.70245135
10,0.5438711
11,0.45965183
12,0.021184856
13,0.60105217
14,0.41134816
15,0.086658135
16,0.04109729
17,0.5787453
18,0.33089897
19,0.557268
20,0.041848335
21,0.12641717
22,0.70943487
23,0.07632615
24,0.6975592
25,0.38749677
26,0.37044507
27,0.089744985
28,0.43152332
29,0.11793457
30,0.21854785
31,0.21434867
32,0.713135
33,0.20149964
34,0.03542622
35,0.1302641
36,0.26878244
37,0.16525812
38,0.19277805
39,0.4567701
40,0.2645041
41,0.49906683
42,0.43748063
43,0.0937562
44,0.44073713
45,0.56052685
46,0.70141447
47,0.03382701
48,0.7143897
49,0.20137703
50,0.09929967
51,0.6891871
52,0.42410177
53,0.15716332
54,0.70833373
55,0.46450984
56,0.14235556
57,0.016058678
58,0.66722405
59,0.124091834
60,0.09266553
61,0.21847063
62,0.70765877
63,0.69533694
64,0.42315406
65,0.48832667
66,0.1035056
67,0.20168845
68,0.20548153
69,0.7100851
70,0.6162938
71,0.2841194
72,0.5368849
73,0.23065904
74,0.626076
75,0.20572515
76,0.05826012
77,0.22542813
78,0.096119344
79,0.19186693
80,0.22165957
81,0.13678846
82,0.28017807
83,0.41438937
84,0.15554003
85,0.24757811
86,0.2468842
87,0.4505201
88,0.06749966
89,0.4966393
90,0.71216273
91,0.14727443
92,0.116849944
93,0.5590107
94,0.14591561
95,0.70477283
96,0.10483331
97,0.35122833
98,0.16068678
99,0.41080073
100,0.09474071
101,0.044000886
102,0.68939084
103,0.077253714
104,0.59893847
105,0.6531091
106,0.63683474
107,0.18931058
108,0.040655226
109,0.17163864
110,0.09439998
111,0.40604246
112,0.0956918
113,0.069966696
114,0.64766425
115,0.05448004
116,0.3075966
117,0.22692499
118,0.24735448
119,0.17692408
120,0.3743158
121,0.062618025
122,0.48078912
123,0.59107506
124,0.28714722
125,0.047164425
126,0.39906323
127,0.066803195
128,0.15855321
129,0.66967297
130,0.22367838
131,0.68602604
132,0.42795223
133,0.06862733
134,0.016470747
135,0.70290035
136,0.6665685
137,0.48909265
138,0.11024935
139,0.016213272
140,0.054699488
141,0.2783167
142,0.2090393
143,0.5828981
144,0.081363335
145,0.21710734
146,0.7173743
147,0.3774697
148,0.70487857
149,0.13914996
150,0.56122345
151,0.5573224
152,0.70289993
153,0.48531324
154,0.044781372
155,0.29677975
156,0.5950109
157,0.063842684
158,0.6000854
159,0.70111376
160,0.077218845
161,0.25444543
162,0.1565722
163,0.69263035
164,0.09412656
165,0.66825867
166,0.3749733
167,0.5644685
168,0.1818043
169,0.7007251
170,0.20080006
171,0.092731126
172,0.60945654
173,0.032579836
174,0.3962647
175,0.60460824
176,0.09491189
177,0.7077223
178,0.15446168
179,0.3789084
180,0.43356895
181,0.6685506
182,0.34842557
183,0.6692128
184,0.058607616
185,0.26265854
186,0.5799166
187,0.47877944
188,0.033932388
189,0.53946
190,0.11099277
191,0.017927205
192,0.07704523
193,0.63600343
194,0.32694584
195,0.61857796
196,0.24254066
197,0.49237013
198,0.38711983
199,0.035041794
200,0.3310617
201,0.6465439
202,0.4282739
203,0.34156227
204,0.668497
205,0.4272926
206,0.32627112
207,0.06850022
208,0.5226599
209,0.23506925
210,0.7058822
211,0.51442045
212,0.102775835
213,0.08433931
214,0.12820257
215,0.05440028
216,0.18718795
217,0.10209317
218,0.1936563
219,0.31660995
220,0.16759692
221,0.6913954
222,0.5272463
223,0.2449685
224,0.6275184
225,0.29789305
226,0.38183773
227,0.17575482
228,0.49878642
229,0.310925
230,0.35041708
231,0.30003026
232,0.09107051
233,0.1196942
234,0.07996793
235,0.7043518
236,0.5166341
237,0.6029215
238,0.5501214
239,0.5705204
240,0.08324447
241,0.39326623
242,0.5472461
243,0.1894102
244,0.65198654
245,0.48994762
246,0.66759044
247,0.11823753
248,0.26225126
249,0.6230651
250,0.64719045
251,0.47771963
252,0.06549343
253,0.0955228
254,0.07965396
255,0.16319118
256,0.1510394
257,0.449321
258,0.35376155
259,0.11718953
260,0.3650704
261,0.27892992
262,0.23771101
263,0.71535426
264,0.70269126
265,0.1792449
266,0.014415167
267,0.6441541
268,0.6945824
269,0.33921254
270,0.70584905
271,0.21963336
272,0.09284097
273,0.70510364
274,0.05781018
275,0.107298
276,0.693712
277,0.59871054
278,0.0747758
279,0.5965216
280,0.26063824
281,0.2740665
282,0.045108736
283,0.53328955
284,0.1312815
285,0.15596734
286,0.44668677
287,0.66318786
288,0.54910135
289,0.2173189
290,0.6895796
291,0.6870004
292,0.08968589
293,0.06525263
294,0.47197598
295,0.028393146
296,0.69598913
297,0.5526296
298,0.42226467
299,0.36492148
300,0.70884514
301,0.3191888
302,0.18546951
303,0.68995905
304,0.5760645
305,0.26516742
306,0.2482391
307,0.1408942
308,0.65763307
309,0.072463684
310,0.13880451
311,0.14338532
312,0.16372336
313,0.4147799
314,0.5187644
315,0.48915833
316,0.7001567
317,0.5369143
318,0.5712736
319,0.1749546
320,0.536118
321,0.25172588
322,0.5318202
323,0.6039708
