,w_time,step_num,val,run_name,metric,coreset_algorithm,repitition,coreset_frac,sim_metric,embedding,experiment_name,epsilon
700,1693674413,60,0.8695888519,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
701,1693675989,3,1.056684852,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
702,1693677519,6,0.955165565,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
703,1693679047,9,0.9240554571,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
704,1693680577,12,0.868713975,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
705,1693682106,15,0.8649703264,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
706,1693683636,18,0.8608250618,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
707,1693685164,21,0.8681432605,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
708,1693686691,24,0.8388205171,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
709,1693688220,27,0.8485116363,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
710,1693689750,30,0.8139824271,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
711,1693691278,33,0.8291016221,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
712,1693692807,36,0.8547457457,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
713,1693694335,39,0.8733178973,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
714,1693695864,42,0.8538369536,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
715,1693697392,45,0.8290240169,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
716,1693698920,48,0.8238080144,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
717,1693700449,51,0.8586953282,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
718,1693701979,54,0.8755917549,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
719,1693703508,57,0.8650682569,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
720,1693705036,60,0.8810060024,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
721,1693766327,3,1.080598235,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
722,1693767857,6,0.9226115346,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
723,1693769387,9,0.9319238663,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
724,1693770917,12,0.8968458772,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
725,1693772447,15,0.849270165,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
726,1693773977,18,0.9445546269,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
727,1693775507,21,0.9110179543,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
728,1693777039,24,0.9167502522,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
729,1693778567,27,0.8687493801,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
730,1693780099,30,0.868970871,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
731,1693781629,33,0.8791766763,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
732,1693783160,36,0.8459708095,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
733,1693784691,39,0.8514103889,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
734,1693786225,42,0.8447009921,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
735,1693787755,45,0.8449084163,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
736,1693789286,48,0.9460529089,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
737,1693790815,51,0.9223172665,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
738,1693792346,54,0.868685782,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
739,1693793877,57,0.8834291697,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
740,1693795407,60,0.9094981551,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
741,1693858261,3,1.068485975,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
742,1693859793,6,0.9555473328,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
743,1693861327,9,0.9281334877,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
744,1693862860,12,0.9155931473,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
745,1693864391,15,0.9179320335,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
746,1693865923,18,0.9185057282,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
747,1693867454,21,0.854541719,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
748,1693868987,24,0.886366725,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
749,1693870533,27,0.8804066777,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
750,1693872077,30,0.923263967,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
751,1693873824,33,0.9081964493,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
752,1693875393,36,0.8822799325,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
753,1693877050,39,0.8987654448,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
754,1693878801,42,0.8878500462,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
755,1693880349,45,0.9200361371,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
756,1693881893,48,0.9005867243,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
757,1693883466,51,0.9093437791,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
758,1693885043,54,0.9302813411,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
759,1693886578,57,0.9165897965,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
760,1693888112,60,0.9288680553,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
761,1693737942,3,1.015817404,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
762,1693739352,6,1.094469786,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
763,1693740763,9,0.9163756371,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
764,1693742170,12,0.8779889941,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
765,1693743584,15,0.9059386849,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
766,1693744993,18,0.9782422781,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
767,1693746404,21,0.8710378408,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
768,1693747818,24,0.8684773445,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
769,1693749233,27,0.8865405917,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
770,1693750641,30,0.8823849559,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
771,1693752049,33,0.8793548942,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
772,1693753459,36,0.9153790474,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
773,1693754874,39,0.8918632269,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
774,1693756285,42,0.8654988408,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
775,1693757694,45,0.8641537428,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
776,1693759107,48,0.84833318,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
777,1693760517,51,0.8987277746,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
778,1693761925,54,0.8860852718,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
779,1693763338,57,0.8726355433,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
780,1693764747,60,0.9039974809,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
781,1693889694,3,1.075581789,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
782,1693891227,6,0.9605402946,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
783,1693892761,9,0.9253604412,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
784,1693894300,12,0.9150893092,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
785,1693895845,15,0.9043079019,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
786,1693897439,18,0.9380053282,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
787,1693898984,21,0.8521237969,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
788,1693900536,24,0.9110281467,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
789,1693902106,27,0.8885635734,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
790,1693903694,30,0.9271291494,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
791,1693905301,33,0.9095214605,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
792,1693906950,36,0.8925678134,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
793,1693908559,39,0.8955723643,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
794,1693910098,42,0.8961617947,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
795,1693911635,45,0.9379273057,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
796,1693913172,48,0.8879213333,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
