,w_time,step_num,val,run_name,metric,coreset_algorithm,repitition,coreset_frac,sim_metric,embedding,experiment_name,epsilon
658,1693706613,3,0.3255914152,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
659,1693708142,6,0.3739852905,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
660,1693709672,9,0.3933110833,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
661,1693711203,12,0.409909457,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
662,1693712733,15,0.4055974185,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
663,1693714262,18,0.4162448943,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
664,1693715792,21,0.4250005484,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
665,1693717322,24,0.4355562329,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
666,1693718852,27,0.4314880371,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
667,1693720383,30,0.4464720786,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
668,1693721914,33,0.4476046562,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
669,1693723445,36,0.4412062764,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
670,1693724975,39,0.4426820278,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
671,1693726505,42,0.4439615607,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
672,1693728035,45,0.4551647604,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
673,1693729565,48,0.4539159536,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
674,1693731096,51,0.4629838169,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
675,1693732628,54,0.4549690187,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
676,1693734158,57,0.4429373741,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
677,1693735688,60,0.4582871795,milo_ViT_05,valid_mIoU,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.1
